Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,ID
261,Cooper Kupp,LAR,26,WR,16,14,2,4,0,4,2.0,0,0.0,0,,KuppCo00
262,Anthony Levine,BAL,32,db,16,0,2,62,2,62,31.0,0,0.0,0,,LeviAn00
263,Josh McCown,PHI,40,qb,3,0,2,-2,0,-2,-1.0,0,0.0,0,,McCoJo01
264,Colt McCoy,WAS,33,qb,1,1,2,14,1,14,7.0,0,0.0,0,,McCoCo00
265,D.K. Metcalf,SEA,22,WR,16,15,2,11,0,4,2.0,7,3.5,2,1.0,MetcDK00
266,Scott Miller,TAM,22,wr,10,2,2,16,1,6,3.0,10,5.0,0,,MillSc01
267,Ryan Nall,CHI,24,rb,8,0,2,8,1,3,1.5,5,2.5,0,,NallRy00
268,Zach Pascal,IND,25,WR,16,13,2,16,1,12,6.0,4,2.0,0,,PascZa00
269,Breshad Perriman,TAM,26,wr,14,4,2,16,1,15,7.5,1,0.5,0,,PerrBr02
270,Calvin Ridley,ATL,25,WR,13,10,2,34,2,30,15.0,4,2.0,0,,RidlCa00
271,Willie Snead,BAL,27,WR,16,11,2,2,0,2,1.0,0,0.0,0,,SneaWi00
272,Jarrett Stidham,NWE,23,qb,3,0,2,-2,0,-2,-1.0,0,0.0,0,,StidJa00
273,De'Anthony Thomas,2TM,26,,14,0,2,5,1,2,1.0,3,1.5,0,,ThomDe05
274,Marquez Valdes-Scantling,GNB,25,WR,16,10,2,9,0,6,3.0,3,1.5,0,,ValdMa00
275,Darren Waller,OAK,27,TE,16,16,2,5,0,2,1.0,3,1.5,0,,WallDa01
276,Sammy Watkins,KAN,26,WR,14,13,2,12,1,10,5.0,2,1.0,0,,WatkSa00
277,Jamal Agnew,DET,24,db,13,0,1,9,1,6,6.0,3,3.0,0,,AgneJa00
278,Geronimo Allison,GNB,25,wr,16,6,1,7,0,5,5.0,2,2.0,0,,AlliGe01
279,Robby Anderson,NYJ,26,WR,16,15,1,4,0,4,4.0,0,0.0,0,,AndeRo04
280,Bryan Anger,HOU,31,p,14,0,1,-5,,-5,-5.0,0,0.0,0,,AngeBr00
281,Andrew Beck,DEN,23,te,16,6,1,3,1,2,2.0,1,1.0,0,,BeckAn01
282,Antonio Brown,NWE,31,wr,1,0,1,5,1,5,5.0,0,0.0,0,,BrowAn04
283,Derek Carrier,OAK,29,te,16,4,1,27,1,27,27.0,0,0.0,0,,CarrDe00
284,Keelan Cole,JAX,26,wr,16,1,1,6,0,1,1.0,5,5.0,0,,ColeKe00
285,Amari Cooper*,DAL,25,WR,16,16,1,6,0,5,5.0,1,1.0,0,,CoopAm00
286,Pharoh Cooper,2TM,24,,13,1,1,2,0,1,1.0,1,1.0,0,,CoopPh00
287,Jamison Crowder,NYJ,26,WR,16,12,1,4,0,0,0.0,4,4.0,1,1.0,CrowJa00
288,Will Dissly,SEA,23,TE,6,6,1,7,0,5,5.0,2,2.0,0,,DissWi00
289,Tyler Ervin,2TM,26,,10,0,1,10,1,3,3.0,7,7.0,1,1.0,ErviTy00
290,Gerald Everett,LAR,25,te,13,2,1,0,0,0,0.0,0,0.0,0,,EverGe00
291,Isaiah Ford,MIA,23,wr,8,0,1,11,1,0,0.0,11,11.0,1,1.0,FordIs00
292,Bennie Fowler,NYG,28,wr,8,2,1,20,1,17,17.0,3,3.0,0,,FowlBe00
293,John Franklin,TAM,25,db,1,0,1,11,1,9,9.0,2,2.0,0,,FranJo04
294,Chris Godwin*,TAM,23,WR,14,14,1,8,0,0,0.0,8,8.0,1,1.0,GodwCh00
295,Marquise Goodwin,SFO,29,wr,9,6,1,15,1,15,15.0,0,0.0,0,,GoodMa00
296,Josh Gordon,2TM,28,,11,7,1,1,0,1,1.0,0,0.0,0,,GordJo02
297,Matt Haack,MIA,25,p,16,0,1,2,1,2,2.0,0,0.0,0,,HaacMa00
298,Marvin Hall,DET,26,wr,9,0,1,7,0,4,4.0,3,3.0,0,,HallMa02
299,Erik Harris,OAK,29,FS/ss,16,14,1,4,1,4,4.0,0,0.0,0,,HarrEr00
300,Johnny Holton,PIT,29,wr,16,3,1,9,1,7,7.0,2,2.0,0,,HoltJo00
301,Adam Humphries,TEN,26,wr,12,3,1,1,0,1,1.0,0,0.0,0,,HumpAd00
302,Andy Janovich,DEN,26,rb,7,3,1,1,1,0,0.0,1,1.0,0,,JanoAn00
303,Alshon Jeffery,PHI,29,WR,10,10,1,2,1,1,1.0,1,1.0,0,,JeffAl00
304,KeeSean Johnson,ARI,23,wr,10,4,1,3,0,3,3.0,0,0.0,0,,JohnKe07
305,Olabisi Johnson,MIN,22,,16,6,1,6,0,4,4.0,2,2.0,0,,JohnOl00
306,Colin Jones,CAR,32,db,16,0,1,5,1,5,5.0,0,0.0,0,,JoneCo01
307,Zay Jones,2TM,24,,15,9,1,3,0,3,3.0,0,0.0,0,,JoneZa00
308,Travis Kelce*,KAN,30,TE,16,16,1,4,1,3,3.0,1,1.0,0,,KelcTr00
309,Brett Kern*+,TEN,33,p,16,0,1,0,0,0,0.0,0,0.0,0,,KernBr20
310,Dawson Knox,BUF,23,TE,15,11,1,9,1,6,6.0,3,3.0,0,,KnoxDa00
311,Jarvis Landry*,CLE,27,WR,16,16,1,10,1,9,9.0,1,1.0,0,,LandJa00
312,Allen Lazard,GNB,24,wr,16,3,1,21,1,15,15.0,6,6.0,1,1.0,LazaAl00
313,Marqise Lee,JAX,28,wr,6,1,1,1,0,1,1.0,0,0.0,0,,LeexMa00
314,Vance McDonald,PIT,29,TE,14,14,1,2,0,0,0.0,2,2.0,0,,McDoVa00
315,Trace McSorley,BAL,24,qb,1,0,1,1,1,0,0.0,1,1.0,0,,McSoTr00
316,Anthony Miller,CHI,25,WR,16,7,1,-1,0,-1,-1.0,0,0.0,0,,MillAn02
317,Chris Moore,BAL,26,wr,14,1,1,0,,0,0.0,0,0.0,0,,MoorCh00
318,Alfred Morris,ARI,31,rb,1,0,1,4,1,2,2.0,2,2.0,0,,MorrAl00
319,Quenton Nelson*+,IND,23,LG,16,16,1,0,,0,0.0,0,0.0,0,,NelsQu00
320,Kalif Raymond,TEN,25,wr,8,1,1,-5,0,-5,-5.0,0,0.0,0,,RaymKa00
321,Paul Richardson,WAS,27,WR,10,6,1,0,0,0,0.0,0,0.0,0,,RichPa01
322,Andre Roberts*,BUF,31,wr,13,0,1,7,0,5,5.0,2,2.0,0,,RobeAn00
323,Allen Robinson,CHI,26,WR,16,15,1,2,0,2,2.0,0,0.0,0,,RobiAl02
324,Ben Roethlisberger,PIT,37,qb,2,2,1,7,0,7,7.0,0,0.0,0,,RoetBe00
325,Chester Rogers,IND,25,wr,12,6,1,18,1,18,18.0,0,0.0,0,,RogeCh02
326,Da'Mari Scott,NYG,24,wr,5,2,1,5,0,2,2.0,3,3.0,0,,ScotDa02
327,Nick Scott,LAR,24,db,16,0,1,6,0,6,6.0,0,0.0,0,,ScotNi01
328,Golden Tate,NYG,31,WR,11,10,1,16,1,12,12.0,4,4.0,0,,TateGo00
329,Michael Thomas*+,NOR,26,WR,16,15,1,-9,0,-9,-9.0,0,0.0,0,,ThomMi05
330,Danny Vitale,GNB,26,rb,15,4,1,3,0,2,2.0,1,1.0,0,,VitaDa00
331,Greg Ward,PHI,24,wr,7,3,1,5,0,5,5.0,0,0.0,0,,WardGr02
332,Trevon Wesco,NYJ,24,,16,1,1,2,1,-1,-1.0,3,3.0,0,,WescTr00
333,Mike Williams,LAC,25,WR,15,15,1,2,0,-1,-1.0,3,3.0,0,,WillMi07
334,Jarius Wright,CAR,30,WR,16,9,1,-7,0,-7,-7.0,0,0.0,1,1.0,WrigJa02
