Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,ID
1,Stefon Diggs*+,BUF,27,WR,16,15,10.4,7.94,76.5%,95.9,12.1,0.50,4.56,55,9.2,7.9,95.9,0.00,DiggSt00
2,Davante Adams*+,GNB,28,WR,14,14,10.6,8.21,77.2%,98.1,11.9,1.29,5.21,56,9.2,8.2,98.1,0.07,AdamDa01
3,DeAndre Hopkins*,ARI,28,WR,16,16,10.0,7.19,71.9%,87.9,12.2,0.38,4.69,60,8.8,7.2,87.9,0.19,HopkDe00
4,Darren Waller*,LVR,28,TE,16,15,9.06,6.69,73.8%,74.8,11.2,0.56,4.31,38,8.2,6.7,74.8,0.13,WallDa01
5,Travis Kelce*+,KAN,31,TE,15,15,9.67,7.00,72.4%,94.4,13.5,0.73,5.27,45,9.8,7.0,94.4,0.07,KelcTr00
6,Allen Robinson,CHI,27,WR,16,16,9.44,6.38,67.5%,78.1,12.3,0.38,4.25,42,8.3,6.4,78.1,0.00,RobiAl02
7,Keenan Allen*,LAC,28,WR,14,13,10.5,7.14,68.0%,70.9,9.9,0.57,4.36,28,6.7,7.1,70.9,0.21,AlleKe00
8,Tyler Lockett,SEA,28,WR,16,16,8.25,6.25,75.8%,65.9,10.5,0.63,3.56,47,8.0,6.3,65.9,0.06,LockTy00
9,JuJu Smith-Schuster,PIT,24,WR,16,14,8.00,6.06,75.8%,51.9,8.6,0.56,3.00,31,6.5,6.1,51.9,0.19,SmitJu00
10,Robby Anderson,CAR,27,WR,16,16,8.50,5.94,69.9%,68.5,11.5,0.19,3.06,75,8.1,5.9,68.5,0.06,AndeRo04
11,Amari Cooper,DAL,26,WR,16,15,8.13,5.75,70.8%,69.6,12.1,0.31,3.38,69,8.6,5.8,69.6,0.00,CoopAm00
12,Cooper Kupp,LAR,27,WR,15,12,8.27,6.13,74.2%,64.9,10.6,0.20,3.00,55,7.9,6.1,64.9,0.07,KuppCo00
13,Calvin Ridley,ATL,26,WR,15,15,9.53,6.00,62.9%,91.6,15.3,0.60,4.33,63,9.6,6.0,91.6,0.07,RidlCa00
14,Robert Woods,LAR,28,WR,16,16,8.06,5.63,69.8%,58.5,10.4,0.38,2.88,56,7.3,5.6,58.5,0.13,WoodRo02
15,Justin Jefferson*,MIN,21,WR,16,14,7.81,5.50,70.4%,87.5,15.9,0.44,3.63,71,11.2,5.5,87.5,0.06,JeffJu00
16,Diontae Johnson,PIT,24,WR,15,13,9.60,5.87,61.1%,61.5,10.5,0.47,3.00,47,6.4,5.9,61.5,0.13,JohnDi01
17,Tyreek Hill*+,KAN,26,WR,15,15,9.00,5.80,64.4%,85.1,14.7,1.00,3.80,75,9.5,5.8,85.1,0.07,HillTy00
18,Terry McLaurin,WAS,25,WR,15,15,8.93,5.80,64.9%,74.5,12.9,0.27,3.40,68,8.3,5.8,74.5,0.07,McLaTe00
19,Alvin Kamara*,NOR,25,RB,15,10,7.13,5.53,77.6%,50.4,9.1,0.33,2.33,52,7.1,5.5,50.4,0.07,KamaAl00
20,D.K. Metcalf*,SEA,23,WR,16,16,8.06,5.19,64.3%,81.4,15.7,0.63,3.94,62,10.1,5.2,81.4,0.06,MetcDK00
21,Cole Beasley,BUF,31,wr,15,10,7.13,5.47,76.6%,64.5,11.8,0.27,3.53,35,9.0,5.5,64.5,0.00,BeasCo00
22,Brandin Cooks,HOU,27,WR,15,15,7.93,5.40,68.1%,76.7,14.2,0.40,3.40,57,9.7,5.4,76.7,0.00,CookBr00
23,J.D. McKissic,WAS,27,rb,16,7,6.88,5.00,72.7%,36.8,7.4,0.13,2.00,29,5.4,5.0,36.8,0.19,McKiJ.00
24,Tyler Boyd,CIN,26,wr,15,8,7.33,5.27,71.8%,56.1,10.6,0.27,2.87,72,7.6,5.3,56.1,0.07,BoydTy00
25,Curtis Samuel,CAR,24,WR,15,5,6.47,5.13,79.4%,56.7,11.1,0.20,2.60,44,8.8,5.1,56.7,0.07,SamuCu00
26,Marvin Jones,DET,30,WR,16,16,7.19,4.75,66.1%,61.1,12.9,0.56,3.25,43,8.5,4.8,61.1,0.00,JoneMa02
27,CeeDee Lamb,DAL,21,WR,16,14,6.94,4.63,66.7%,58.4,12.6,0.31,2.88,52,8.4,4.6,58.4,0.13,LambCe00
28,Adam Thielen,MIN,30,WR,15,15,7.20,4.93,68.5%,61.7,12.5,0.93,3.47,51,8.6,4.9,61.7,0.00,ThieAd00
29,Russell Gage,ATL,24,wr,16,8,6.81,4.50,66.1%,49.1,10.9,0.25,3.13,35,7.2,4.5,49.1,0.00,GageRu00
30,Jarvis Landry,CLE,28,WR,15,14,6.73,4.80,71.3%,56.0,11.7,0.20,3.07,32,8.3,4.8,56.0,0.13,LandJa00
31,Logan Thomas,WAS,29,TE,16,15,6.88,4.50,65.5%,41.9,9.3,0.38,2.25,30,6.1,4.5,41.9,0.00,ThomLo00
32,A.J. Brown*,TEN,23,WR,14,12,7.57,5.00,66.0%,76.8,15.4,0.79,3.93,73,10.1,5.0,76.8,0.14,BrowAJ00
33,Mike Evans,TAM,27,WR,16,16,6.81,4.38,64.2%,62.9,14.4,0.81,3.44,50,9.2,4.4,62.9,0.00,EvanMi00
34,Tee Higgins,CIN,21,WR,16,14,6.75,4.19,62.0%,56.8,13.6,0.38,3.25,67,8.4,4.2,56.8,0.06,HiggTe00
35,T.J. Hockenson*,DET,23,TE,16,16,6.31,4.19,66.3%,45.2,10.8,0.38,2.50,51,7.2,4.2,45.2,0.06,HockTJ00
36,D.J. Moore,CAR,23,WR,15,14,7.87,4.40,55.9%,79.5,18.1,0.27,3.53,74,10.1,4.4,79.5,0.00,MoorD.00
37,Sterling Shepard,NYG,27,WR,12,12,7.50,5.50,73.3%,54.7,9.9,0.25,3.08,29,7.3,5.5,54.7,0.00,ShepSt00
38,Corey Davis,TEN,25,WR,14,12,6.57,4.64,70.7%,70.3,15.1,0.36,3.50,75,10.7,4.6,70.3,0.07,DaviCo03
39,Chris Godwin,TAM,24,WR,12,12,7.00,5.42,77.4%,70.0,12.9,0.58,3.58,47,10.0,5.4,70.0,0.08,GodwCh00
40,Evan Engram*,NYG,26,TE,16,14,6.81,3.94,57.8%,40.9,10.4,0.06,2.00,53,6.0,3.9,40.9,0.06,EngrEv00
41,Nyheim Hines,IND,24,rb,16,2,4.75,3.94,82.9%,30.1,7.7,0.25,1.50,29,6.3,3.9,30.1,0.00,HineNy00
42,DeVante Parker,MIA,27,WR,14,11,7.36,4.50,61.2%,56.6,12.6,0.29,3.21,31,7.7,4.5,56.6,0.07,ParkDe01
43,Dalton Schultz,DAL,24,TE,16,14,5.56,3.94,70.8%,38.4,9.8,0.25,2.06,28,6.9,3.9,38.4,0.06,SchuDa00
44,Chase Claypool,PIT,22,wr,16,6,6.81,3.88,56.9%,54.6,14.1,0.56,2.56,84,8.0,3.9,54.6,0.19,ClayCh01
45,Noah Fant,DEN,23,TE,15,14,6.20,4.13,66.7%,44.9,10.9,0.20,2.27,37,7.2,4.1,44.9,0.00,FantNo00
46,Darnell Mooney,CHI,23,wr,16,9,6.13,3.81,62.2%,39.4,10.3,0.25,2.06,53,6.4,3.8,39.4,0.06,MoonDa00
47,Emmanuel Sanders,NOR,33,WR,14,5,5.86,4.36,74.4%,51.9,11.9,0.36,2.36,51,8.9,4.4,51.9,0.07,SandEm00
48,Brandon Aiyuk,SFO,22,WR,12,11,8.00,5.00,62.5%,62.3,12.5,0.42,3.50,49,7.8,5.0,62.3,0.00,AiyuBr00
49,Hunter Henry,LAC,26,TE,14,14,6.64,4.29,64.5%,43.8,10.2,0.29,2.50,33,6.6,4.3,43.8,0.00,HenrHu00
50,Jamison Crowder,NYJ,27,WR,12,7,7.42,4.92,66.3%,58.3,11.8,0.50,2.67,69,7.9,4.9,58.3,0.00,CrowJa00
51,Mike Davis,CAR,27,RB,15,12,4.67,3.93,84.3%,24.9,6.3,0.13,1.13,23,5.3,3.9,24.9,0.07,DaviMi01
52,Michael Gallup,DAL,24,WR,16,15,6.56,3.69,56.2%,52.7,14.3,0.31,2.75,55,8.0,3.7,52.7,0.00,GallMi00
53,Jakobi Meyers,NWE,24,wr,14,9,5.79,4.21,72.8%,52.1,12.4,0.00,2.64,35,9.0,4.2,52.1,0.07,MeyeJa01
54,Mark Andrews,BAL,25,te,14,2,6.29,4.14,65.9%,50.1,12.1,0.50,2.64,39,8.0,4.1,50.1,0.14,AndrMa00
55,Marquise Brown,BAL,23,WR,16,14,6.25,3.63,58.0%,48.1,13.3,0.50,2.19,70,7.7,3.6,48.1,0.00,BrowMa04
56,Laviska Shenault Jr.,JAX,22,WR,14,12,5.64,4.14,73.4%,42.9,10.3,0.36,2.36,36,7.6,4.1,42.9,0.00,ShenLa00
57,Eric Ebron,PIT,27,te,15,9,6.07,3.73,61.5%,37.2,10.0,0.33,2.00,27,6.1,3.7,37.2,0.07,EbroEr00
58,T.Y. Hilton,IND,31,WR,15,15,6.20,3.73,60.2%,50.8,13.6,0.33,2.80,50,8.2,3.7,50.8,0.00,HiltT.00
59,Hayden Hurst,ATL,27,te,16,9,5.50,3.50,63.6%,35.7,10.2,0.38,2.19,42,6.5,3.5,35.7,0.00,HursHa00
60,Hunter Renfrow,LVR,25,wr,16,6,4.81,3.50,72.7%,41.0,11.7,0.13,2.00,53,8.5,3.5,41.0,0.13,RenfHu00
61,Keelan Cole,JAX,27,wr,16,5,5.50,3.44,62.5%,40.1,11.7,0.31,2.13,51,7.3,3.4,40.1,0.00,ColeKe00
62,Austin Ekeler,LAC,25,RB,10,10,6.50,5.40,83.1%,40.3,7.5,0.20,2.00,28,6.2,5.4,40.3,0.10,EkelAu00
63,Larry Fitzgerald,ARI,37,WR,13,13,5.54,4.15,75.0%,31.5,7.6,0.08,1.92,18,5.7,4.2,31.5,0.00,FitzLa00
64,David Montgomery,CHI,23,RB,15,14,4.53,3.60,79.4%,29.2,8.1,0.13,1.67,28,6.4,3.6,29.2,0.07,MontDa01
65,DJ Chark,JAX,24,WR,13,12,7.15,4.08,57.0%,54.3,13.3,0.38,2.85,73,7.6,4.1,54.3,0.00,CharDJ00
66,Chase Edmonds,ARI,24,rb,16,2,4.19,3.31,79.1%,25.1,7.6,0.25,1.31,30,6.0,3.3,25.1,0.13,EdmoCh00
67,Will Fuller,HOU,26,WR,11,11,6.82,4.82,70.7%,79.9,16.6,0.73,3.45,77,11.7,4.8,79.9,0.00,FullWi01
68,Mike Gesicki,MIA,25,TE,15,9,5.67,3.53,62.4%,46.9,13.3,0.40,2.40,70,8.3,3.5,46.9,0.00,GesiMi00
69,Greg Ward,PHI,25,wr,16,10,4.94,3.31,67.1%,26.2,7.9,0.38,1.50,32,5.3,3.3,26.2,0.13,WardGr02
70,Ezekiel Elliott,DAL,25,RB,15,15,4.73,3.47,73.2%,22.5,6.5,0.13,1.33,19,4.8,3.5,22.5,0.40,ElliEz00
71,Jerry Jeudy,DEN,21,WR,16,14,7.06,3.25,46.0%,53.5,16.5,0.19,2.44,92,7.6,3.3,53.5,0.13,JeudJe00
72,Josh Reynolds,LAR,25,WR,16,13,5.06,3.25,64.2%,38.6,11.9,0.13,1.94,40,7.6,3.3,38.6,0.13,ReynJo00
73,Robert Tonyan,GNB,26,TE,16,8,3.69,3.25,88.1%,36.6,11.3,0.69,2.06,45,9.9,3.3,36.6,0.00,TonyRo00
74,Julio Jones,ATL,31,WR,9,9,7.56,5.67,75.0%,85.7,15.1,0.33,4.00,44,11.3,5.7,85.7,0.00,JoneJu02
75,Tim Patrick,DEN,27,WR,15,15,5.27,3.40,64.6%,49.5,14.5,0.40,2.20,61,9.4,3.4,49.5,0.00,PatrTi00
76,Jimmy Graham,CHI,34,TE,16,15,4.75,3.13,65.8%,28.5,9.1,0.50,2.00,30,6.0,3.1,28.5,0.06,GrahJi00
77,Darius Slayton,NYG,23,WR,16,15,6.00,3.13,52.1%,46.9,15.0,0.19,2.50,41,7.8,3.1,46.9,0.06,SlayDa01
78,Kendrick Bourne,SFO,25,wr,15,5,4.93,3.27,66.2%,44.5,13.6,0.13,2.33,49,9.0,3.3,44.5,0.00,BourKe00
79,Anthony Miller,CHI,26,WR,16,6,4.75,3.06,64.5%,30.3,9.9,0.13,1.44,34,6.4,3.1,30.3,0.13,MillAn02
80,James Robinson,JAX,22,RB,14,14,4.29,3.50,81.7%,24.6,7.0,0.21,1.07,28,5.7,3.5,24.6,0.21,RobiJa00
