Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,ID
374,Trayveon Williams,CIN,23,rb,10,0,0.50,0.50,100.0%,3.00,6.0,0.00,0.10,13,6.0,0.5,3.0,0.10,WillTr06
375,JJ Arcega-Whiteside,PHI,24,wr,8,0,1.00,0.50,50.0%,10.6,21.3,0.00,0.50,37,10.6,0.5,10.6,0.00,ArceJJ00
376,Peyton Barber,WAS,26,rb,16,2,0.44,0.25,57.1%,0.75,3.0,0.00,0.06,7,1.7,0.3,0.8,0.00,BarbPe01
377,Khari Blasingame,TEN,24,FB,15,7,0.33,0.27,80.0%,2.60,9.8,0.00,0.13,16,7.8,0.3,2.6,0.00,BlasKh00
378,Michael Burton,NOR,28,rb,15,4,0.27,0.27,100.0%,1.87,7.0,0.00,0.07,12,7.0,0.3,1.9,0.00,BurtMi00
379,Tevin Coleman,SFO,27,rb,8,1,0.63,0.50,80.0%,4.25,8.5,0.00,0.25,18,6.8,0.5,4.3,0.00,ColeTe01
380,Juwan Johnson,NOR,24,wr,7,4,1.43,0.57,40.0%,5.57,9.8,0.00,0.43,19,3.9,0.6,5.6,0.00,JohnJu02
381,Josh Malone,NYJ,24,wr,4,0,1.50,1.00,66.7%,4.00,4.0,0.00,0.25,13,2.7,1.0,4.0,0.00,MaloJo00
382,Johnny Mundt,LAR,26,te,16,1,0.25,0.25,100.0%,3.31,13.3,0.00,0.06,34,13.3,0.3,3.3,0.00,MundJo00
383,Dante Pettis,2TM,25,,7,1,0.86,0.57,66.7%,10.9,19.0,0.14,0.43,33,12.7,0.6,10.9,0.14,PettDa00
384,Damion Ratley,NYG,25,wr,5,0,2.00,0.80,40.0%,12.6,15.8,0.00,0.40,29,6.3,0.8,12.6,0.20,RatlDa00
385,Riley Ridley,CHI,24,wr,5,1,0.80,0.80,100.0%,7.80,9.8,0.00,0.60,18,9.8,0.8,7.8,0.00,RidlRi00
386,Andre Roberts*,BUF,32,wr,15,0,0.33,0.27,80.0%,2.27,8.5,0.00,0.13,16,6.8,0.3,2.3,0.20,RobeAn00
387,Seth Roberts,CAR,29,wr,7,1,0.86,0.57,66.7%,4.43,7.8,0.00,0.29,12,5.2,0.6,4.4,0.00,RobeSe00
388,Lee Smith,BUF,33,te,10,2,0.60,0.40,66.7%,3.50,8.8,0.20,0.30,27,5.8,0.4,3.5,0.00,SmitLe00
389,Jonathan Williams,DET,26,rb,5,0,0.80,0.80,100.0%,4.20,5.3,0.00,0.40,10,5.3,0.8,4.2,0.20,WillJo07
390,Deontay Burnett,PHI,23,wr,2,0,2.00,1.50,75.0%,9.50,6.3,0.00,0.50,10,4.8,1.5,9.5,0.00,BurnDe00
391,Trenton Cannon,CAR,26,rb,14,0,0.21,0.21,100.0%,1.14,5.3,0.00,0.07,19,5.3,0.2,1.1,0.00,CannTr00
392,Austin Carr,NOR,27,wr,6,0,0.67,0.50,75.0%,4.50,9.0,0.17,0.50,11,6.8,0.5,4.5,0.00,CarrAu00
393,Ashton Dulin,IND,23,wr,13,0,0.46,0.23,50.0%,4.08,17.7,0.00,0.15,34,8.8,0.2,4.1,0.08,DuliAs00
394,Ted Ginn Jr.,CHI,35,wr,6,0,1.00,0.50,50.0%,6.67,13.3,0.00,0.17,29,6.7,0.5,6.7,0.17,GinnTe00
395,Terry Godwin,JAX,24,wr,3,0,2.00,1.00,50.0%,10.7,10.7,0.00,0.67,21,5.3,1.0,10.7,0.00,GodwTe00
396,Jaeden Graham,ATL,25,te,16,0,0.31,0.19,60.0%,1.56,8.3,0.00,0.06,11,5.0,0.2,1.6,0.00,GrahJa01
397,Virgil Green,LAC,32,te,6,3,1.00,0.50,50.0%,8.33,16.7,0.17,0.33,26,8.3,0.5,8.3,0.00,GreeVi00
398,Tanner Hudson,TAM,26,te,11,0,0.64,0.27,42.9%,3.73,13.7,0.00,0.27,20,5.9,0.3,3.7,0.00,HudsTa00
399,Lil'Jordan Humphrey,NOR,22,wr,3,1,1.67,1.00,60.0%,15.3,15.3,0.33,1.00,17,9.2,1.0,15.3,0.00,HumpLi01
400,D'Ernest Johnson,CLE,24,rb,16,0,0.25,0.19,75.0%,0.88,4.7,0.00,0.00,5,3.5,0.2,0.9,0.06,JohnDE04
401,Dalton Keene,NWE,21,te,6,0,0.83,0.50,60.0%,2.67,5.3,0.00,0.00,8,3.2,0.5,2.7,0.17,KeenDa00
402,Marlon Mack,IND,24,rb,1,1,3.00,3.00,100.0%,30.0,10.0,0.00,1.00,19,10.0,3.0,30.0,0.00,MackMa00
403,Ty Montgomery,NOR,27,wr,6,1,1.00,0.50,50.0%,4.50,9.0,0.00,0.17,17,4.5,0.5,4.5,0.00,MontTy01
404,Alfred Morris,NYG,32,rb,9,0,0.44,0.33,75.0%,2.11,6.3,0.11,0.22,9,4.8,0.3,2.1,0.00,MorrAl00
405,Eric Saubert,JAX,26,te,8,4,0.50,0.38,75.0%,2.00,5.3,0.00,0.00,9,4.0,0.4,2.0,0.00,SaubEr00
406,Diontae Spencer,DEN,28,wr,11,0,0.55,0.27,50.0%,2.36,8.7,0.00,0.09,10,4.3,0.3,2.4,0.18,SpenDi00
407,Courtland Sutton,DEN,25,wr,1,1,6.00,3.00,50.0%,66.0,22.0,0.00,2.00,45,11.0,3.0,66.0,0.00,SuttCo00
408,Kahale Warring,HOU,23,te,7,0,1.00,0.43,42.9%,5.00,11.7,0.00,0.29,23,5.0,0.4,5.0,0.00,WarrKa00
409,Nick Westbrook-Ikhine,TEN,23,wr,14,1,0.57,0.21,37.5%,2.36,11.0,0.00,0.21,19,4.1,0.2,2.4,0.00,WestNi00
410,Charlie Woerner,SFO,23,te,14,0,0.29,0.21,75.0%,2.57,12.0,0.00,0.14,18,9.0,0.2,2.6,0.00,WoerCh00
411,Brandon Zylstra,CAR,27,wr,16,2,0.25,0.19,75.0%,2.19,11.7,0.00,0.19,28,8.8,0.2,2.2,0.00,ZylsBr00
412,Devin Asiasi,NWE,23,te,9,3,0.78,0.22,28.6%,4.33,19.5,0.11,0.22,26,5.6,0.2,4.3,0.00,AsiaDe00
413,Reggie Bonnafon,CAR,24,rb,2,0,1.00,1.00,100.0%,9.00,9.0,0.50,1.00,15,9.0,1.0,9.0,0.00,BonnRe00
414,Mike Boone,MIN,25,rb,16,0,0.13,0.13,100.0%,0.63,5.0,0.00,0.00,6,5.0,0.1,0.6,0.00,BoonMi00
415,Daniel Brown,NYJ,28,wr,16,1,0.13,0.13,100.0%,1.94,15.5,0.00,0.13,18,15.5,0.1,1.9,0.00,BrowDa04
416,Jake Butt,DEN,25,te,5,1,0.80,0.40,50.0%,1.00,2.5,0.00,0.00,5,1.3,0.4,1.0,0.00,ButtJa00
417,Jason Cabinda,DET,24,lb,16,2,0.19,0.13,66.7%,0.50,4.0,0.00,0.06,4,2.7,0.1,0.5,0.00,CabiJa00
418,Lawrence Cager,NYJ,23,wr,2,1,3.00,1.00,33.3%,17.5,17.5,0.00,1.00,19,5.8,1.0,17.5,0.00,CageLa01
419,Antonio Callaway,MIA,23,wr,5,1,0.80,0.40,50.0%,4.00,10.0,0.00,0.20,13,5.0,0.4,4.0,0.00,CallAn00
420,Chandler Cox,MIA,24,rb,8,3,0.25,0.25,100.0%,1.13,4.5,0.00,0.13,6,4.5,0.3,1.1,0.00,CoxxCh01
421,Dominique Dafney,GNB,23,te,5,2,0.40,0.40,100.0%,5.20,13.0,0.20,0.40,13,13.0,0.4,5.2,0.00,DafnDo00
422,AJ Dillon,GNB,22,rb,11,0,0.18,0.18,100.0%,1.91,10.5,0.00,0.09,16,10.5,0.2,1.9,0.00,DillAJ00
423,Darrynton Evans,TEN,22,rb,5,0,0.80,0.40,50.0%,5.40,13.5,0.20,0.40,24,6.8,0.4,5.4,0.00,EvanDa02
424,Robert Foster,WAS,26,wr,4,2,1.50,0.50,33.3%,9.25,18.5,0.00,0.50,28,6.2,0.5,9.3,0.00,FostRo01
425,Daurice Fountain,IND,25,wr,5,0,0.60,0.40,66.7%,4.60,11.5,0.00,0.40,12,7.7,0.4,4.6,0.00,FounDa00
